majority_entry,population
Adult,143000000
Minor,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Minor,143000000
Adult,143000000
Minor,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Adult,38600000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Minor,12500000
Adult,38600000
